Material Code,Material Description,Plant,UOM,Line Number,Component Item Number,Material Description2,Material type,Component Quantity,Unit of Measure
50081424,C-TAMP SAFE RSP O.GREEN (H)-ET,        BAIN,PC,1,50081422,C-TAMP SAFE RSP O.GREEN (H)-NS,SFG,1,PC
50081426,"C-TAMP SAFE""I"" TANBRN223270-NS",        BAIN,PC,1,50082200,HDPE: RELENE E52009,Raw material,2.1437,GM
50081426,"C-TAMP SAFE""I"" TANBRN223270-NS",        BAIN,PC,2,50081393,MB: POLYONE TAN BROWN 223270,Master batch,0.0663,GM
50081426,"C-TAMP SAFE""I"" TANBRN223270-NS",        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.0013,PC
50081426,"C-TAMP SAFE""I"" TANBRN223270-NS",        BAIN,PC,4,50081574,CB:580X332X420 MM FF PP,Carton box,0.000167,PC
50081427,"C-TAMP SAFE""I"" TANBRN223270-GS",        BAIN,PC,1,50081426,"C-TAMP SAFE""I"" TANBRN223270-NS",SFG,1,PC
50081428,"C-TAMP SAFE""I"" TANBRN223270-ET",        BAIN,PC,1,50081426,"C-TAMP SAFE""I"" TANBRN223270-NS",SFG,1,PC
50081429,CR-38MM VIOLET .035FSM-1 BLK,        BAIN,PC,1,50082144,38MM INNER CAPS NATURAL,SFG,1,PC
50081429,CR-38MM VIOLET .035FSM-1 BLK,        BAIN,PC,2,50081994,38MM OUTER CAPS VIOLET (2612C),SFG,1,PC
50081429,CR-38MM VIOLET .035FSM-1 BLK,        BAIN,PC,3,50081833,"0.035 FSM1 SFYP BLK 5.75""",Liner,0.0111,YD
50081429,CR-38MM VIOLET .035FSM-1 BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081429,CR-38MM VIOLET .035FSM-1 BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0005,PC
50081429,CR-38MM VIOLET .035FSM-1 BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0005,PC
50081430,CR-38MM HS225 TG II PLAIN,        BAIN,PC,1,50082144,38MM INNER CAPS NATURAL,SFG,1,PC
50081430,CR-38MM HS225 TG II PLAIN,        BAIN,PC,2,50082177,38MM OUTER CAPS WHITE,SFG,1,PC
50081430,CR-38MM HS225 TG II PLAIN,        BAIN,PC,3,50081395,"HS225 TG II TS 4.375""",Liner,0.0111,YD
50081430,CR-38MM HS225 TG II PLAIN,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081430,CR-38MM HS225 TG II PLAIN,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0005,PC
50081430,CR-38MM HS225 TG II PLAIN,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0005,PC
50081431,CR-38MM BLUE2945CHS130/020 BLK,        BAIN,PC,1,50082144,38MM INNER CAPS NATURAL,SFG,1,PC
50081431,CR-38MM BLUE2945CHS130/020 BLK,        BAIN,PC,2,50081995,38MM OUTER CAPS BLUE (2945C),SFG,1,PC
50081431,CR-38MM BLUE2945CHS130/020 BLK,        BAIN,PC,3,50081397,"HS130 0.020"" WLP BLK 5.75""",Liner,0.0111,YD
50081431,CR-38MM BLUE2945CHS130/020 BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081431,CR-38MM BLUE2945CHS130/020 BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0005,PC
50081431,CR-38MM BLUE2945CHS130/020 BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0005,PC
50081432,CR-38MM BEIGE .035 SG100 PLAIN,        BAIN,PC,1,50082144,38MM INNER CAPS NATURAL,SFG,1,PC
50081432,CR-38MM BEIGE .035 SG100 PLAIN,        BAIN,PC,2,50081702,38MM OUTER CAPS BEIGE(AMPACET),SFG,1,PC
50081432,CR-38MM BEIGE .035 SG100 PLAIN,        BAIN,PC,3,50081888,"0.035 PULP SG100 PLAIN 5.75""",Liner,0.0111,YD
50081432,CR-38MM BEIGE .035 SG100 PLAIN,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081432,CR-38MM BEIGE .035 SG100 PLAIN,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0005,PC
50081432,CR-38MM BEIGE .035 SG100 PLAIN,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0005,PC
50081433,CR-33MM-PIC HS035/.025WLP RED,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081433,CR-33MM-PIC HS035/.025WLP RED,        BAIN,PC,2,50081832,33MM OUTER CAPS WHITE PIC,SFG,1,PC
50081433,CR-33MM-PIC HS035/.025WLP RED,        BAIN,PC,3,50081555,"HS035/0.025 WLP SFYP RED 5.06""",Liner,0.01,YD
50081433,CR-33MM-PIC HS035/.025WLP RED,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081433,CR-33MM-PIC HS035/.025WLP RED,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081433,CR-33MM-PIC HS035/.025WLP RED,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081434,CR-33MM(RL) HS123/0.020 WHITE,        BAIN,PC,1,50081590,33MM INNER CAPS NAT.(H110MA),SFG,1,PC
50081434,CR-33MM(RL) HS123/0.020 WHITE,        BAIN,PC,2,50081703,33MM OUTER WHITE CAPS (H110MA),SFG,1,PC
50081434,CR-33MM(RL) HS123/0.020 WHITE,        BAIN,PC,3,50081755,HS123/0.020 SFYP WHITE 5.06”,Liner,0.01,YD
50081434,CR-33MM(RL) HS123/0.020 WHITE,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081434,CR-33MM(RL) HS123/0.020 WHITE,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081434,CR-33MM(RL) HS123/0.020 WHITE,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081435,CR-33MM HS130/.020 BLK,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081435,CR-33MM HS130/.020 BLK,        BAIN,PC,2,50082178,33MM OUTER CAPS WHITE,SFG,1,PC
50081435,CR-33MM HS130/.020 BLK,        BAIN,PC,3,50081397,"HS130 0.020"" WLP BLK 5.75""",Liner,0.01,YD
50081435,CR-33MM HS130/.020 BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081435,CR-33MM HS130/.020 BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081435,CR-33MM HS130/.020 BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081436,CR-33MM HS130/035WLP BLK,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081436,CR-33MM HS130/035WLP BLK,        BAIN,PC,2,50082178,33MM OUTER CAPS WHITE,SFG,1,PC
50081436,CR-33MM HS130/035WLP BLK,        BAIN,PC,3,50081480,HS 130/0.035 WLP BLK 5.75”,Liner,0.01,YD
50081436,CR-33MM HS130/035WLP BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081436,CR-33MM HS130/035WLP BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081436,CR-33MM HS130/035WLP BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081437,CR-33MM VIOLET .035 FSM-1 BLK,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081437,CR-33MM VIOLET .035 FSM-1 BLK,        BAIN,PC,2,50081996,33MM OUTER CAPS VIOLET(2612C),SFG,1,PC
50081437,CR-33MM VIOLET .035 FSM-1 BLK,        BAIN,PC,3,50081834,"0.035 FSM1 SFYP BLK 5.06""",Liner,0.01,YD
50081437,CR-33MM VIOLET .035 FSM-1 BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081437,CR-33MM VIOLET .035 FSM-1 BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081437,CR-33MM VIOLET .035 FSM-1 BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081438,"CR-33MM HS035 PL /.025""WLP RED",        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081438,"CR-33MM HS035 PL /.025""WLP RED",        BAIN,PC,2,50082178,33MM OUTER CAPS WHITE,SFG,1,PC
50081438,"CR-33MM HS035 PL /.025""WLP RED",        BAIN,PC,3,50081555,"HS035/0.025 WLP SFYP RED 5.06""",Liner,0.01,YD
50081438,"CR-33MM HS035 PL /.025""WLP RED",        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081438,"CR-33MM HS035 PL /.025""WLP RED",        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081438,"CR-33MM HS035 PL /.025""WLP RED",        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081439,CR-33MM BLUE2945C HS130/020BLK,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081439,CR-33MM BLUE2945C HS130/020BLK,        BAIN,PC,2,50081997,33MM OUTER CAPS BLUE (2945C),SFG,1,PC
50081439,CR-33MM BLUE2945C HS130/020BLK,        BAIN,PC,3,50081398,"HS130 0.020"" WLP BLK 5.06""",Liner,0.01,YD
50081439,CR-33MM BLUE2945C HS130/020BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081439,CR-33MM BLUE2945C HS130/020BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081439,CR-33MM BLUE2945C HS130/020BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081440,CR-28MM-030 FSE7-6S BLK,        BAIN,PC,1,50082180,28MM INNER CAPS NATURAL,SFG,1,PC
50081440,CR-28MM-030 FSE7-6S BLK,        BAIN,PC,2,50082179,28MM OUTER CAPS WHITE,SFG,1,PC
50081440,CR-28MM-030 FSE7-6S BLK,        BAIN,PC,3,50081654,"0.030 FSE 7-6S SFYP BLK 4.375""",Liner,0.0083,YD
50081440,CR-28MM-030 FSE7-6S BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0003,PC
50081440,CR-28MM-030 FSE7-6S BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.000333,PC
50081440,CR-28MM-030 FSE7-6S BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50081441,CR-28MM HS130/.020 WLP BLK,        BAIN,PC,1,50082180,28MM INNER CAPS NATURAL,SFG,1,PC
50081441,CR-28MM HS130/.020 WLP BLK,        BAIN,PC,2,50082179,28MM OUTER CAPS WHITE,SFG,1,PC
50081441,CR-28MM HS130/.020 WLP BLK,        BAIN,PC,3,50081397,"HS130 0.020"" WLP BLK 5.75""",Liner,0.0083,YD
50081441,CR-28MM HS130/.020 WLP BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0003,PC
50081441,CR-28MM HS130/.020 WLP BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.000333,PC
50081441,CR-28MM HS130/.020 WLP BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50081442,CR-28MM .035 FSLE 1-13 BLK,        BAIN,PC,1,50082180,28MM INNER CAPS NATURAL,SFG,1,PC
50081442,CR-28MM .035 FSLE 1-13 BLK,        BAIN,PC,2,50082179,28MM OUTER CAPS WHITE,SFG,1,PC
50081442,CR-28MM .035 FSLE 1-13 BLK,        BAIN,PC,3,50081591,"0.035FSLE 1-13 SFYP BLK 4.375""",Liner,0.0083,YD
50081442,CR-28MM .035 FSLE 1-13 BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0003,PC
50081442,CR-28MM .035 FSLE 1-13 BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.000333,PC
50081442,CR-28MM .035 FSLE 1-13 BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50081443,CR-28MM - 020 CCFWR FSE1-15,        BAIN,PC,1,50082180,28MM INNER CAPS NATURAL,SFG,1,PC
50081443,CR-28MM - 020 CCFWR FSE1-15,        BAIN,PC,2,50082179,28MM OUTER CAPS WHITE,SFG,1,PC
50081443,CR-28MM - 020 CCFWR FSE1-15,        BAIN,PC,3,50081705,0.020 WLP FSE1-15 PLAIN 4.375”,Liner,0.0083,YD
50081443,CR-28MM - 020 CCFWR FSE1-15,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0003,PC
50081443,CR-28MM - 020 CCFWR FSE1-15,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.000333,PC
50081443,CR-28MM - 020 CCFWR FSE1-15,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50081444,CR-38MM -035 WLPM FSM -1 BLK,        BAIN,PC,1,50082144,38MM INNER CAPS NATURAL,SFG,1,PC
50081444,CR-38MM -035 WLPM FSM -1 BLK,        BAIN,PC,2,50082177,38MM OUTER CAPS WHITE,SFG,1,PC
50081444,CR-38MM -035 WLPM FSM -1 BLK,        BAIN,PC,3,50081833,"0.035 FSM1 SFYP BLK 5.75""",Liner,0.0111,YD
50081444,CR-38MM -035 WLPM FSM -1 BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081444,CR-38MM -035 WLPM FSM -1 BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0005,PC
50081444,CR-38MM -035 WLPM FSM -1 BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0005,PC
50081445,CR-38MM - HS 123 /035 WHITE,        BAIN,PC,1,50082144,38MM INNER CAPS NATURAL,SFG,1,PC
50081445,CR-38MM - HS 123 /035 WHITE,        BAIN,PC,2,50082177,38MM OUTER CAPS WHITE,SFG,1,PC
50081445,CR-38MM - HS 123 /035 WHITE,        BAIN,PC,3,50081750,HS123/0.035 SFYP WHITE 5.75”,Liner,0.0111,YD
50081445,CR-38MM - HS 123 /035 WHITE,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081445,CR-38MM - HS 123 /035 WHITE,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0005,PC
50081445,CR-38MM - HS 123 /035 WHITE,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0005,PC
50081446,CR-38MM - HS 123 /020 WHITE,        BAIN,PC,1,50082144,38MM INNER CAPS NATURAL,SFG,1,PC
50081446,CR-38MM - HS 123 /020 WHITE,        BAIN,PC,2,50082177,38MM OUTER CAPS WHITE,SFG,1,PC
50081446,CR-38MM - HS 123 /020 WHITE,        BAIN,PC,3,50081754,"HS123/0.020 SFYP WHITE 5.75""",Liner,0.0111,YD
50081446,CR-38MM - HS 123 /020 WHITE,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081446,CR-38MM - HS 123 /020 WHITE,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0005,PC
50081446,CR-38MM - HS 123 /020 WHITE,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0005,PC
50081447,CR-33MM HS035/35 WLP RED,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081447,CR-33MM HS035/35 WLP RED,        BAIN,PC,2,50082178,33MM OUTER CAPS WHITE,SFG,1,PC
50081447,CR-33MM HS035/35 WLP RED,        BAIN,PC,3,50106207,"HS035/0.035 SFYP RED 5.06""TPXI",Liner,0.01,YD
50081447,CR-33MM HS035/35 WLP RED,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081447,CR-33MM HS035/35 WLP RED,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081447,CR-33MM HS035/35 WLP RED,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081448,CR-33MM 035 WLPM FSM -1 BLK,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081448,CR-33MM 035 WLPM FSM -1 BLK,        BAIN,PC,2,50082178,33MM OUTER CAPS WHITE,SFG,1,PC
50081448,CR-33MM 035 WLPM FSM -1 BLK,        BAIN,PC,3,50081834,"0.035 FSM1 SFYP BLK 5.06""",Liner,0.01,YD
50081448,CR-33MM 035 WLPM FSM -1 BLK,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081448,CR-33MM 035 WLPM FSM -1 BLK,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081448,CR-33MM 035 WLPM FSM -1 BLK,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081449,CR-33MM HS 123 /020 WHITE,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50081449,CR-33MM HS 123 /020 WHITE,        BAIN,PC,2,50082178,33MM OUTER CAPS WHITE,SFG,1,PC
50081449,CR-33MM HS 123 /020 WHITE,        BAIN,PC,3,50081755,HS123/0.020 SFYP WHITE 5.06”,Liner,0.01,YD
50081449,CR-33MM HS 123 /020 WHITE,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50081449,CR-33MM HS 123 /020 WHITE,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50081449,CR-33MM HS 123 /020 WHITE,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50081457,"B-5ML""O"" WHITE (1005FY20)-NS",        BAIN,PC,1,50082192,LDPE: RELENE 1005FY20,Raw material,2.842,GM
50081457,"B-5ML""O"" WHITE (1005FY20)-NS",        BAIN,PC,2,50082194,MB: REMAFIN WHITE P7,Master batch,0.058,GM
50081457,"B-5ML""O"" WHITE (1005FY20)-NS",        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.002,PC
50081457,"B-5ML""O"" WHITE (1005FY20)-NS",        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50081458,"B-5ML ""I"" WHITE (1005FY20)-NS",        BAIN,PC,1,50082192,LDPE: RELENE 1005FY20,Raw material,2.45,GM
50081458,"B-5ML ""I"" WHITE (1005FY20)-NS",        BAIN,PC,2,50082194,MB: REMAFIN WHITE P7,Master batch,0.05,GM
50081458,"B-5ML ""I"" WHITE (1005FY20)-NS",        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.002,PC
50081458,"B-5ML ""I"" WHITE (1005FY20)-NS",        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50081459,"B-5ML""I"" NAT. POPLOGO (L) -NS",        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.9,GM
50081459,"B-5ML""I"" NAT. POPLOGO (L) -NS",        BAIN,PC,2,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.002,PC
50081459,"B-5ML""I"" NAT. POPLOGO (L) -NS",        BAIN,PC,3,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50081460,"B-5ML""I"" NAT. POPLOGO (L) -GS",        BAIN,PC,1,50081459,"B-5ML""I"" NAT. POPLOGO (L) -NS",SFG,1,PC
50081461,B-5ML EX. RG WHITE (L-F)-NS,        BAIN,PC,1,50082198,LDPE: RELENE 22FA002,Raw material,2.8812,GM
50081461,B-5ML EX. RG WHITE (L-F)-NS,        BAIN,PC,2,50082194,MB: REMAFIN WHITE P7,Master batch,0.0588,GM
50081461,B-5ML EX. RG WHITE (L-F)-NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50081461,B-5ML EX. RG WHITE (L-F)-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
